Cálculos propios con datos de CONAPO 2026,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42
Edad,Canatlán,Canelas,Coneto de Comonfort,Cuencamé,Durango,El Oro,General Simón Bolívar,Gómez Palacio,Guadalupe Victoria,Guanaceví,Hidalgo,Indé,Lerdo,Mapimí,Mezquital,Nazas,Nombre de Dios,Nuevo Ideal,Ocampo,Otáez,Pánuco de Coronado,Peñón Blanco,Poanas,Pueblo Nuevo,Rodeo,San Bernardo,San Dimas,San Juan de Guadalupe,San Juan del Río,San Luis del Cordero,San Pedro del Gallo,Santa Clara,Santiago Papasquiaro,Súchil,Tamazula,Tepehuanes,Tlahualilo,Topia,Vicente Guerrero,,,Poblacion Total H y M
Hombres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,225,43,26,282,6067,77,71,3153,289,89,25,33,1369,210,351,95,151,220,47,47,94,83,195,395,98,14,140,32,14,15,46,449,52,244,96,144,91,203,93,15368.0,,30548
31,224,43,26,281,6036,77,71,3138,288,88,25,32,1363,209,349,95,151,219,47,46,94,82,194,393,98,14,139,32,14,15,46,447,52,243,96,143,90,202,93,15295.0,,30431
32,222,43,26,279,5989,76,70,3114,286,88,25,32,1353,208,346,94,149,218,47,46,93,82,193,390,97,14,138,32,14,15,45,444,52,241,95,142,90,200,92,15180.0,,30234
33,219,42,25,275,5918,75,69,3078,282,87,25,32,1337,205,342,93,148,215,46,45,92,81,191,386,96,14,136,32,14,15,45,438,51,238,94,141,89,198,91,15000.0,,29919
34,215,42,25,270,5816,74,68,3023,277,85,24,31,1313,202,336,91,145,211,45,45,90,79,187,379,94,14,134,31,13,15,44,431,50,234,92,138,87,194,89,14733.0,,29445
35,224,41,26,266,5510,73,70,3020,281,86,25,29,1374,205,295,94,140,211,50,39,92,79,194,374,89,16,127,29,15,14,41,388,51,213,90,143,79,190,82,14365.0,,28779
36,217,40,25,257,5336,71,68,2926,272,83,24,28,1331,199,286,91,136,205,48,38,90,77,188,362,86,15,123,28,15,14,40,375,49,207,87,139,77,184,79,13916.0,,27962
37,210,38,24,249,5170,68,66,2832,263,80,23,27,1288,192,276,88,131,198,47,36,87,74,182,351,83,15,119,27,14,13,39,363,48,200,84,134,74,178,77,13468.0,,27156
38,203,37,23,241,5010,66,64,2745,255,78,22,26,1248,186,268,85,127,192,45,35,84,72,177,340,81,14,116,26,14,13,38,352,46,194,82,130,72,172,75,13054.0,,26427
39,197,36,23,234,4851,64,62,2659,247,76,22,26,1210,181,260,83,123,186,44,34,81,70,171,329,78,14,112,26,13,13,36,341,45,188,79,126,70,167,72,12649.0,,25732
40,198,31,22,225,4640,64,61,2714,241,66,23,26,1206,167,215,78,114,176,47,27,87,67,169,309,76,16,107,28,16,11,36,295,44,156,71,125,61,162,65,12242.0,,25056
41,191,30,21,217,4474,61,59,2618,232,64,22,25,1164,162,207,76,110,169,45,26,84,64,163,298,73,16,104,27,15,11,35,285,42,151,69,121,59,157,63,11810.0,,24358
42,183,29,21,208,4303,59,57,2516,223,61,21,24,1118,155,199,73,105,163,43,25,81,62,157,286,70,15,99,26,15,10,34,274,40,145,66,116,57,150,60,11349.0,,23619
43,176,27,20,200,4132,57,54,2416,215,59,20,23,1074,149,192,70,101,156,41,24,78,59,151,275,67,15,96,25,14,10,32,263,39,139,63,112,55,144,58,10901.0,,22897
44,170,26,19,193,3979,55,52,2329,207,57,20,22,1035,144,185,67,98,151,40,23,75,57,145,265,65,14,92,24,14,10,31,253,37,134,61,108,53,139,56,10505.0,,22250
